text,label
"From: Techcombank Security <security@service-update.top>
Subject: Final notice: verify your account
Vui lòng xác minh tài khoản ngay lập tức để tránh bị khóa. Hãy nhập mật khẩu và mã OTP tại https://service-update.top/login. !!! Hành động ngay lập tức!!!",1
"From: Customer Care Microsoft <service@confirm-access.xyz>
Subject: Bạn đã trúng thưởng
Chúng tôi phát hiện hoạt động bất thường. Bạn phải xác minh thông tin đăng nhập trong 24 giờ tại http://45.76.123.9/security-check.",1
"From: PayPal Security <security@billing-confirm.loan>
Subject: Urgent: unusual login detected
Bạn được chọn nhận phần thưởng. Hãy cung cấp thông tin tài khoản và xác nhận tại https://billing-confirm.loan/account/confirm để nhận tiền.",1
"From: Phòng đào tạo <no-reply@university.edu.vn>
Subject: Nhắc lịch gia hạn dịch vụ
Vui lòng xem thông tin trong cổng thông tin nội bộ. Nếu cần hỗ trợ, hãy liên hệ bộ phận phụ trách qua kênh chính thức. Nếu không yêu cầu thao tác này, hãy liên hệ bộ phận hỗ trợ.",0
"From: Apple Support <support@mail-security.club>
Subject: Khẩn cấp: tài khoản của bạn sắp bị khóa
Bạn được chọn nhận phần thưởng. Hãy cung cấp thông tin tài khoản và xác nhận tại https://mail-security.club/login để nhận tiền. Your accunt must be verfy today.",1
"From: MoMo Security <security@verify-login.top>
Subject: Thông báo hoàn tiền - xác nhận thông tin
Bạn được chọn nhận phần thưởng. Hãy cung cấp thông tin tài khoản và xác nhận tại https://verify-login.top/account/confirm để nhận tiền.",1
"From: Thư viện <no-reply@university.edu.vn>
Subject: Phiếu lương tháng này
Đây là thông báo định kỳ. Bạn không cần cung cấp mật khẩu, mã OTP hoặc thông tin thẻ qua email.",0
"From: Google Support <support@support-center.club>
Subject: Urgent: unusual login detected
Bạn được chọn nhận phần thưởng. Hãy cung cấp thông tin tài khoản và xác nhận tại https://support-center.club/account/confirm để nhận tiền.",1
"From: Apple Security <security@service-update.top>
Subject: Xác minh tài khoản để tránh đình chỉ
Vui lòng xác minh tài khoản ngay lập tức để tránh bị khóa. Hãy nhập mật khẩu và mã OTP tại https://service-update.top/account/confirm.",1
"From: Phòng đào tạo <no-reply@university.edu.vn>
Subject: Thông báo giao hàng
Vui lòng xem thông tin trong cổng thông tin nội bộ. Nếu cần hỗ trợ, hãy liên hệ bộ phận phụ trách qua kênh chính thức.",0
"From: Dịch vụ khách hàng <no-reply@shop.vn>
Subject: Tài liệu cuộc họp
Vui lòng xem thông tin trong cổng thông tin nội bộ. Nếu cần hỗ trợ, hãy liên hệ bộ phận phụ trách qua kênh chính thức.",0
"From: Thư viện <no-reply@university.edu.vn>
Subject: Thông báo bảo trì hệ thống
Biên nhận được gửi để bạn lưu trữ. Nếu có sai lệch, liên hệ bộ phận chăm sóc khách hàng theo thông tin trên website chính thức.",0
"From: Ban quản trị hệ thống <no-reply@company.vn>
Subject: Phiếu lương tháng này
Đây là thông báo định kỳ. Bạn không cần cung cấp mật khẩu, mã OTP hoặc thông tin thẻ qua email.",0
"From: Google Security <security@verify-user.top>
Subject: Khẩn cấp: tài khoản của bạn sắp bị khóa
Final notice. Verify your account immediately using https://verify-user.top/login or access may be suspended.",1
"From: Vietcombank Security <security@service-update.top>
Subject: Urgent: unusual login detected
Tài khoản của bạn sẽ bị đình chỉ nếu không hành động ngay. Truy cập https://service-update.top/login để xác minh danh tính.",1
